companyceo(limitedbrands,lesliewexner).
recursion_companyeconomicsector(kwextv,media).
recursion_companyeconomicsector(kqet,media).
recursion_companyeconomicsector(kuvs,media).
recursion_companyeconomicsector(kuvn,media).
recursion_companyeconomicsector(kdtv,media).
recursion_companyeconomicsector(ketstv,media).
recursion_companyeconomicsector(kxlntv,media).
recursion_companyeconomicsector(ktvwtv,media).
recursion_companyeconomicsector(wuvptv,media).
recursion_companyeconomicsector(kmextv,media).
recursion_companyeconomicsector(kldotv,media).
recursion_companyeconomicsector(fourseasons,hospitality).
recursion_companyeconomicsector(hilton,hospitality).
recursion_companyeconomicsector(marriothotels,hospitality).
recursion_companyeconomicsector(badcreditautoloan,loans).
recursion_companyeconomicsector(ford,automobile).
recursion_companyeconomicsector(ford,automotive).
recursion_companyeconomicsector(ford,auto).
recursion_companyeconomicsector(americanexpress,financialservices).
recursion_companyeconomicsector(nike,sportinggoods).
recursion_companyeconomicsector(statefarm,insurance).
recursion_companyeconomicsector(ebay,internet).
recursion_companyeconomicsector(ebay,consumer).
recursion_companyeconomicsector(progressive,carinsurance).
recursion_companyeconomicsector(progressive,insurance).
recursion_companyeconomicsector(raymondjamesstadium,investment).
recursion_companyeconomicsector(lehman,investment).
recursion_companyeconomicsector(nationalgeographicmagazine,media).
recursion_companyeconomicsector(wallstreetjournal,media).
recursion_companyeconomicsector(cingularwireless,telecommunications).
recursion_companyeconomicsector(investmentbankmerrilllynch,financialservices).
recursion_companyeconomicsector(investmentbankmerrilllynch,investment).
recursion_companyeconomicsector(investmentbankmerrilllynch,investmentbanking).
recursion_companyeconomicsector(msnbc,media).
recursion_companyeconomicsector(bcbs,insurance).
recursion_companyeconomicsector(mcgrawhillcompanies,publishing).
recursion_companyeconomicsector(skynews,media).
recursion_companyeconomicsector(ie,internet).
recursion_companyeconomicsector(vogue,media).
recursion_companyeconomicsector(atlantajournalconstitution,news).
recursion_companyeconomicsector(globeandmail,media).
recursion_companyeconomicsector(theglobeandmail,media).
recursion_companyeconomicsector(timemagazine,media).
recursion_companyeconomicsector(timemagazine,news).
recursion_companyeconomicsector(thenewyorktimes,media).
recursion_companyeconomicsector(cnnheadlinenews,media).
recursion_companyeconomicsector(laopinin,insurance).
recursion_companyeconomicsector(usatoday,media).
recursion_companyeconomicsector(google,media).
recursion_companyeconomicsector(ukguardian,insurance).
recursion_companyeconomicsector(ukguardian,media).
recursion_companyeconomicsector(laopinion,insurance).
recursion_companyeconomicsector(thenewyorkpost,media).
recursion_companyeconomicsector(timewarnerinc,media).
recursion_companyeconomicsector(post,media).
recursion_companyeconomicsector(post,news).
recursion_companyeconomicsector(friendfeedshare,media).
recursion_companyeconomicsector(abcnewscom,news).
recursion_companyeconomicsector(houstonchronicle,news).
recursion_companyeconomicsector(thelosangelestimes,media).
recursion_companyeconomicsector(theeconomist,media).
recursion_companyeconomicsector(cnn,media).
recursion_companyeconomicsector(thebostonglobemagazine,media).
recursion_companyeconomicsector(salon,media).
recursion_companyeconomicsector(linkedin,internet).
recursion_companyeconomicsector(linkedin,business).
recursion_companyeconomicsector(nbcnews,media).
recursion_companyeconomicsector(nbcnews,news).
recursion_companyeconomicsector(bloombergnews,news).
recursion_companyeconomicsector(cnnfox,media).
recursion_companyeconomicsector(cnnfox,news).
recursion_companyeconomicsector(forbes,media).
recursion_companyeconomicsector(gq,media).
recursion_companyeconomicsector(sportsillustrated,news).
recursion_companyeconomicsector(people,insurancepolicies).
recursion_companyeconomicsector(rollingstonemagazine,media).
recursion_companyeconomicsector(morepeople,insurance).
recursion_companyeconomicsector(netscape,internet).
recursion_companyeconomicsector(thechristiansciencemonitor,media).
recursion_companyeconomicsector(thechristiansciencemonitor,news).
recursion_companyeconomicsector(cnnabc,media).
recursion_companyeconomicsector(cnnabc,news).
recursion_companyeconomicsector(chicagotribune,media).
recursion_companyeconomicsector(austinamericanstatesman,news).
recursion_companyeconomicsector(foxnews,media).
recursion_companyeconomicsector(foxnews,news).
recursion_companyeconomicsector(linkedin,media).
recursion_companyeconomicsector(aboutcom,media).
recursion_companyeconomicsector(google,media).
recursion_companyeconomicsector(techcrunch,media).
recursion_companyeconomicsector(googlecom,internet).
recursion_companyeconomicsector(worldreport,news).
recursion_companyeconomicsector(foxnews,media).
recursion_companyeconomicsector(foxnews,news).
recursion_companyeconomicsector(timewarner,media).
recursion_companyeconomicsector(thewashingtontimes,media).
recursion_companyeconomicsector(thewashingtontimes,news).
recursion_companyeconomicsector(associatedpress,media).
recursion_companyeconomicsector(thesouthchinamorningpost,media).
recursion_companyeconomicsector(nytimes,media).
recursion_companyeconomicsector(msnnews,media).
recursion_companyeconomicsector(newyorktimes,media).
recursion_companyeconomicsector(fastcompanymagazine,media).
recursion_companyeconomicsector(thechicagotribune,media).
recursion_companyeconomicsector(cnnthenewyorktimes,media).
recursion_companyeconomicsector(nytimes,media).
recursion_companyeconomicsector(nytimes,news).
recursion_companyeconomicsector(financialtimes,media).
recursion_companyeconomicsector(tennessee,insurance).
recursion_companyeconomicsector(nationaljournal,media).
recursion_companyeconomicsector(wyoming,insurance).
recursion_companyeconomicsector(florida,policy).
recursion_companyeconomicsector(florida,insurance).
recursion_companyeconomicsector(florida,realestate).
recursion_companyeconomicsector(californian,insurance).
recursion_companyeconomicsector(newjersey,insurancecoverage).
recursion_companyeconomicsector(newjersey,insurancepolicies).
recursion_companyeconomicsector(newjersey,insurance).
recursion_companyeconomicsector(northcarolina,insurance).
recursion_companyeconomicsector(newsday,news).
recursion_companyeconomicsector(dailyjournal,insurance).
recursion_companyeconomicsector(cnncbs,news).
recursion_companyeconomicsector(nebraska,insurancecoverage).
recursion_companyeconomicsector(nebraska,insurance).
recursion_companyeconomicsector(michigan,insurance).
recursion_companyeconomicsector(baltimoresun,news).
recursion_companyeconomicsector(thetimes,news).
recursion_companyeconomicsector(azrepublic,media).
recursion_companyeconomicsector(nyt,media).
recursion_companyeconomicsector(nyt,news).
recursion_companyeconomicsector(usnewsworldreport,news).
recursion_companyeconomicsector(universalmusicgroup,media).
recursion_companyeconomicsector(amiga,computer).
recursion_companyeconomicsector(emi,media).
recursion_companyeconomicsector(londonsundaytimes,media).
recursion_companyeconomicsector(abcnews,sports).
recursion_companyeconomicsector(nextel,telecommunications).
recursion_companyeconomicsector(blueshield,healthinsurance).
recursion_companyeconomicsector(blueshield,medicalinsurance).
recursion_companyeconomicsector(blueshield,insurance).
recursion_companyeconomicsector(cnnibn,media).
recursion_companyeconomicsector(smallbusinessweek,insurance).
recursion_companyeconomicsector(acnielsen,research).
recursion_companyeconomicsector(citi,financialservices).
recursion_companyeconomicsector(thomascook,holiday).
recursion_companyeconomicsector(fiat,automobile).
recursion_companyeconomicsector(shelloil,energy).
recursion_companyeconomicsector(mobile,insurance).
recursion_companyeconomicsector(aoltimewarner,media).
recursion_companyeconomicsector(acer,computer).
recursion_companyeconomicsector(lazardfreres,investment).
recursion_companyeconomicsector(banktrust,investment).
recursion_companyeconomicsector(creditsuissegroup,investment).
recursion_companyeconomicsector(goldmansachsco,investment).
recursion_companyeconomicsector(firstboston,investment).
recursion_companyeconomicsector(snclavalin,engineering).
recursion_companyeconomicsector(allianz,insurance).
recursion_companyeconomicsector(audi,automobile).
recursion_companyeconomicsector(audi,auto).
recursion_companyeconomicsector(cctv,media).
recursion_companyeconomicsector(bancofamericasecurities,investment).
recursion_companyeconomicsector(massachusettsmutuallifeinsurance,insurance).
recursion_companyeconomicsector(americaonline,internet).
recursion_companyeconomicsector(compaq,computer).
recursion_companyeconomicsector(jpmorganchase,investment).
recursion_companyeconomicsector(viacom,media).
recursion_companyeconomicsector(carlyle,equity).
recursion_companyeconomicsector(barclays,financialservices).
recursion_companyeconomicsector(barclays,insurance).
recursion_companyeconomicsector(emachines,computer).
recursion_companyeconomicsector(lloyds,insurance).
recursion_companyeconomicsector(jpmorgansecurities,investment).
recursion_companyeconomicsector(citicorp,investment).
recursion_companyeconomicsector(jefferiesbroadview,investment).
recursion_companyeconomicsector(rbs,investment).
recursion_companyeconomicsector(mckinseycompany,managementconsulting).
recursion_companyeconomicsector(mckinseycompany,research).
recursion_companyeconomicsector(mckinseycompany,consulting).
recursion_companyeconomicsector(sgcowen,investment).
recursion_companyeconomicsector(smithbarney,investment).
recursion_companyeconomicsector(smithbarney,financialservices).
recursion_companyeconomicsector(blackstonegroup,equity).
recursion_companyeconomicsector(cibc,investment).
recursion_companyeconomicsector(prudentialsecurities,investment).
recursion_companyeconomicsector(janneymontgomeryscott,investment).
recursion_companyeconomicsector(deanwitterreynolds,investment).
recursion_companyeconomicsector(ubs,investment).
recursion_companyeconomicsector(csfb,investment).
recursion_companyeconomicsector(citigroupglobalmarkets,investment).
recursion_companyeconomicsector(wassersteinperellaco,investment).
recursion_companyeconomicsector(conocophillips,energy).
recursion_companyeconomicsector(deutschebank,investment).
recursion_companyeconomicsector(hsbc,banking).
recursion_companyeconomicsector(hsbc,investment).
recursion_companyeconomicsector(goldman,investment).
recursion_companyeconomicsector(robertsonstephens,investment).
recursion_companyeconomicsector(robertsonstephens,technologyinvestment).
recursion_companyeconomicsector(unionbank,investment).
recursion_companyeconomicsector(jpmorgansecuritiesinc,investment).
recursion_companyeconomicsector(jpmorgansecuritiesinc,equity).
recursion_companyeconomicsector(wellsfargo,financialservices).
recursion_companyeconomicsector(wellsfargo,mortgage).
recursion_companyeconomicsector(solomonbrothers,investment).
recursion_companyeconomicsector(agedwards,investment).
recursion_companyeconomicsector(lehmanbrothers,finance).
recursion_companyeconomicsector(lehmanbrothers,investment).
recursion_companyeconomicsector(citigroup,financialservices).
recursion_companyeconomicsector(citigroup,investment).
recursion_companyeconomicsector(stifelnicolaus,investment).
recursion_companyeconomicsector(salomonsmithbarney,investment).
recursion_companyeconomicsector(cowencompany,investment).
recursion_companyeconomicsector(goldmansachsgroup,investment).
recursion_companyeconomicsector(harriswilliamsco,investment).
recursion_companyeconomicsector(brownbrothersharriman,investment).
recursion_companyeconomicsector(schroders,investment).
recursion_companyeconomicsector(metlife,financialservices).
recursion_companyeconomicsector(fortis,insurance).
recursion_companyeconomicsector(nationsbank,banking).
recursion_companyeconomicsector(goldmansachs,investment).
recursion_companyeconomicsector(goldmansachs,internationalinvestment).
recursion_companyeconomicsector(goldmansachs,largeinvestment).
recursion_companyeconomicsector(goldmansachs,globalinvestment).
recursion_companyeconomicsector(goldmansachs,financialservices).
recursion_companyeconomicsector(montgomerysecurities,investment).
recursion_companyeconomicsector(ubsag,investment).
recursion_companyeconomicsector(tuckeranthonysutro,investment).
recursion_companyeconomicsector(deanwitter,investment).
recursion_companyeconomicsector(dresdnerbank,investment).
recursion_companyeconomicsector(thomasweiselpartners,investment).
recursion_companyeconomicsector(charlesschwab,investment).
recursion_companyeconomicsector(statebank,publicsector).
recursion_companyeconomicsector(countrywide,mortgage).
recursion_companyeconomicsector(lazardfrres,investment).
recursion_companyeconomicsector(kleinwortbenson,investment).
recursion_companyeconomicsector(worldbank,finance).
recursion_companyeconomicsector(worldbank,policy).
recursion_companyeconomicsector(morganstanleydeanwitter,investment).
recursion_companyeconomicsector(prudential,insurance).
recursion_companyeconomicsector(usaa,insurance).
recursion_companyeconomicsector(lockheedmartincorp,aerospace).
recursion_companyeconomicsector(scotiacapital,investment).
recursion_companyeconomicsector(tdsecurities,investment).
recursion_companyeconomicsector(nomuraholdings,investment).
recursion_companyeconomicsector(thinkequitypartners,investment).
recursion_companyeconomicsector(creditsuissefirstboston,investment).
recursion_companyeconomicsector(csfirstboston,investment).
recursion_companyeconomicsector(commonwealth,insurance).
recursion_companyeconomicsector(shearsonlehmanbrothers,investment).
recursion_companyeconomicsector(creditsuisse,investment).
recursion_companyeconomicsector(creditsuisse,banking).
recursion_companyeconomicsector(royalbank,banking).
recursion_companyeconomicsector(royalbank,investment).
recursion_companyeconomicsector(donaldsonlufkinjenrette,investment).
recursion_companyeconomicsector(bankerstrustcompany,investment).
recursion_companyeconomicsector(bearstearns,investment).
recursion_companyeconomicsector(visa,financialservices).
recursion_companyeconomicsector(morgankeegan,investment).
recursion_companyeconomicsector(citibank,investment).
recursion_companyeconomicsector(salomonbrothersinc,investment).
recursion_companyeconomicsector(drexelburnhamlambert,investment).
recursion_companyeconomicsector(kidderpeabody,investment).
recursion_companyeconomicsector(gecapital,finance).
recursion_companyeconomicsector(leggmason,investment).
recursion_companyeconomicsector(piperjaffray,investment).
recursion_companyeconomicsector(jpmorgan,investment).
recursion_companyeconomicsector(dresdnerkleinwort,investment).
recursion_companyeconomicsector(ubs,banking).
recursion_companyeconomicsector(ubs,investment).
recursion_companyeconomicsector(barclayscapital,investment).
recursion_companyeconomicsector(morganstanleyco,investment).
recursion_companyeconomicsector(wachoviasecurities,investment).
recursion_companyeconomicsector(cibcworldmarkets,investment).
recursion_companyeconomicsector(wassersteinperella,investment).
recursion_companyeconomicsector(wellsfargoco,investment).
recursion_companyeconomicsector(sandleroneillpartners,investment).
recursion_companyeconomicsector(eamobile,gaming).
recursion_companyeconomicsector(kaiserpermanente,insurance).
recursion_companyeconomicsector(kaiserpermanente,healthcare).
recursion_companyeconomicsector(kemv,media).
recursion_companyeconomicsector(ducati,motorcycle).
recursion_companyeconomicsector(cnngoodmorningamerica,media).
recursion_companyeconomicsector(cnngoodmorningamerica,news).
recursion_companyeconomicsector(suzuki,auto).
recursion_companyeconomicsector(chevrolet,automobile).
recursion_companyeconomicsector(petrochina,energy).
recursion_companyeconomicsector(fidelityinvestments,financialservices).
recursion_companyeconomicsector(kftv,media).
recursion_companyeconomicsector(cnnnbc,media).
recursion_companyeconomicsector(rollsroyce,aerospace).
recursion_companyeconomicsector(rollsroyce,engineering).
recursion_companyeconomicsector(aflac,insurance).
recursion_companyeconomicsector(mayoclinic,healthcare).
recursion_companyeconomicsector(reuters,media).
recursion_companyeconomicsector(alienware,computer).
recursion_companyeconomicsector(cnbc,business).
recursion_companyeconomicsector(cnbc,media).
recursion_companyeconomicsector(everdream,computer).
recursion_companyeconomicsector(siemens,electronics).
recursion_companyeconomicsector(siemens,engineering).
recursion_companyeconomicsector(siemens,energy).
recursion_companyeconomicsector(details,insurance).
recursion_companyeconomicsector(allegheny,semiconductors).
recursion_companyeconomicsector(airindia,publicsector).
recursion_companyeconomicsector(enron,energy).
recursion_companyeconomicsector(canoncorporation,imaging).
recursion_companyeconomicsector(apollogroup,education).
recursion_companyeconomicsector(marykay,sales).
recursion_companyeconomicsector(tripadvisor,travel).
recursion_companyeconomicsector(lonelyplanet,travel).
recursion_companyeconomicsector(airbus,aerospace).
recursion_companyeconomicsector(panasonic,consumerelectronics).
recursion_companyeconomicsector(kpmr,media).
recursion_companyeconomicsector(digitalequipment,computer).
recursion_companyeconomicsector(nationalpublicradio,media).
recursion_companyeconomicsector(nationalpublicradio,news).
recursion_companyeconomicsector(lenovogroup,computer).
recursion_companyeconomicsector(tata,automobile).
recursion_companyeconomicsector(ncrcorporation,telecommunications).
recursion_companyeconomicsector(boostmobile,telecommunications).
recursion_companyeconomicsector(geico,insurance).
recursion_companyeconomicsector(progressenergy,energy).
recursion_companyeconomicsector(fidelity,investment).
recursion_companyeconomicsector(fidelity,financialservices).
recursion_companyeconomicsector(daimlerchrysler,auto).
recursion_companyeconomicsector(newyorklife,insurance).
recursion_companyeconomicsector(clearwirecorp,telecommunications).
recursion_companyeconomicsector(doubleclick,marketing).
recursion_companyeconomicsector(converse,sports).
recursion_companyeconomicsector(honda,automobile).
recursion_companyeconomicsector(audible,internet).
recursion_companyeconomicsector(bsnl,publicsector).
recursion_companyeconomicsector(discoverychannel,media).
recursion_companyeconomicsector(samsung,electronics).
recursion_companyeconomicsector(samsung,consumerelectronics).
recursion_companyeconomicsector(aviva,insurance).
recursion_companyeconomicsector(hotmail,internet).
recursion_companyeconomicsector(vivendi,media).
recursion_companyeconomicsector(arthurandersen,auditing).
recursion_companyeconomicsector(arthuranderson,accounting).
recursion_companyeconomicsector(cnnmsnbc,media).
recursion_companyeconomicsector(cnnmsnbc,news).
recursion_companyeconomicsector(berkshirehathaway,insurance).
recursion_companyeconomicsector(unilever,consumerproducts).
recursion_companyeconomicsector(baidu,internet).
recursion_companyeconomicsector(thetodayshow,news).
recursion_companyeconomicsector(newscorp,media).
recursion_companyeconomicsector(lgelectronicsinc,consumerelectronics).
recursion_companyeconomicsector(lgelectronicsinc,electronics).
recursion_companyeconomicsector(volkswagen,automobile).
recursion_companyeconomicsector(larsentoubro,engineering).
recursion_companyeconomicsector(wuvc,media).
recursion_companyeconomicsector(electronicarts,videogames).
recursion_companyeconomicsector(dec,computer).
recursion_companyeconomicsector(aolvideo,internet).
recursion_companyeconomicsector(aolvideo,media).
recursion_companyeconomicsector(williamhill,gaming).
recursion_companyeconomicsector(airespace,internet).
recursion_companyeconomicsector(eads,aerospace).
recursion_companyeconomicsector(gm,automobile).
recursion_companyeconomicsector(gm,auto).
recursion_companyeconomicsector(mercury,insurance).
recursion_companyeconomicsector(acura,auto).
recursion_companyeconomicsector(saturn,auto).
recursion_companyeconomicsector(daimlerbenz,automobile).
recursion_companyeconomicsector(daimlerbenz,auto).
recursion_companyeconomicsector(ferrari,auto).
recursion_companyeconomicsector(cbc,media).
recursion_companyeconomicsector(bmw,automobile).
recursion_companyeconomicsector(cnnreuters,media).
recursion_companyeconomicsector(public,insurance).
recursion_companyeconomicsector(public,claims).
recursion_companyeconomicsector(amd,semiconductors).
recursion_companyeconomicsector(air,insurance).
recursion_companyeconomicsector(kuth,media).
recursion_companyeconomicsector(kues,media).
recursion_companyeconomicsector(cwnetwork,news).
recursion_companyeconomicsector(zillow,realestate).
recursion_companyeconomicsector(bingindex,internet).
recursion_companyeconomicsector(hawaii,insurancecoverage).
recursion_companyeconomicsector(hawaii,insurance).
recursion_companyeconomicsector(austin,insurance).
recursion_companyeconomicsector(alexandria,insurance).
recursion_companyeconomicsector(orlando,insurance).
recursion_companyeconomicsector(sanfrancisco,insurance).
recursion_companyeconomicsector(il,insurance).
recursion_companyeconomicsector(ak,insurance).
recursion_companyeconomicsector(wa,insurance).
recursion_companyeconomicsector(vt,insurance).
recursion_companyeconomicsector(wv,insurance).
recursion_companyeconomicsector(wi,insurance).
recursion_companyeconomicsector(ky,insurance).
recursion_companyeconomicsector(ks,insurance).
recursion_companyeconomicsector(nv,insurance).
recursion_companyeconomicsector(nm,insurance).
recursion_companyeconomicsector(nh,insurance).
recursion_companyeconomicsector(ne,insurance).
recursion_companyeconomicsector(nc,insurance).
recursion_companyeconomicsector(mt,insurance).
recursion_companyeconomicsector(mn,insurance).
recursion_companyeconomicsector(sd,insurance).
recursion_companyeconomicsector(sc,insurance).
recursion_companyeconomicsector(tn,insurance).
recursion_companyeconomicsector(wha,media).
recursion_companyeconomicsector(sandiego,insurance).
recursion_companyeconomicsector(nevada,insurancecoverage).
recursion_companyeconomicsector(nevada,insurance).
recursion_companyeconomicsector(atlanta,insurance).
recursion_companyeconomicsector(basic,insurance).
recursion_companyeconomicsector(tucson,insurance).
recursion_companyeconomicsector(newyork,insurancecoverage).
recursion_companyeconomicsector(newyork,insurance).
recursion_companyeconomicsector(lancaster,insurance).
recursion_companyeconomicsector(grandrapids,insurance).
recursion_companyeconomicsector(sanantonio,insurance).
recursion_companyeconomicsector(philadelphia,insurance).
recursion_companyeconomicsector(la,insurance).
recursion_companyeconomicsector(ut,insurance).
recursion_companyeconomicsector(washington,insurance).
recursion_companyeconomicsector(columbia,insurance).
recursion_companyeconomicsector(donaldson,investmentbanking).
recursion_companyeconomicsector(donaldson,investment).
recursion_companyeconomicsector(oppenheimer,investment).
recursion_companyeconomicsector(royaldutchshell,energy).
recursion_companyeconomicsector(dowjones,media).
recursion_companyeconomicsector(lehmanbros,investment).
recursion_companyeconomicsector(painewebber,investment).
recursion_companyeconomicsector(pricewaterhousecoopers,accounting).
recursion_companyeconomicsector(cigna,insurance).
recursion_companyeconomicsector(rbcdominionsecurities,investment).
recursion_companyeconomicsector(telstra,telecommunications).
recursion_companyeconomicsector(bt,telecommunications).
recursion_companyeconomicsector(hindustantimes,media).
recursion_companyeconomicsector(linklaters,law).
recursion_companyeconomicsector(greenhillco,investment).
recursion_companyeconomicsector(axa,insurance).
recursion_companyeconomicsector(aon,insurance).
recursion_companyeconomicsector(creditcard,insurance).
recursion_companyeconomicsector(eon,energy).
recursion_companyeconomicsector(vanguard,financialservices).
recursion_companyeconomicsector(hambrechtquist,investment).
recursion_companyeconomicsector(humana,insurance).
recursion_companyeconomicsector(salomonbrothers,investment).
recursion_companyeconomicsector(morganstanley,financialservices).
recursion_companyeconomicsector(ibm,computer).
recursion_companyeconomicsector(mortgage,insurance).
recursion_companyeconomicsector(houlihanlokey,investment).
recursion_companyeconomicsector(boeing,aerospace).
recursion_companyeconomicsector(boeing,aircraftmanufacturing).
recursion_companyeconomicsector(jpmorganco,investment).
recursion_companyeconomicsector(texasinstruments,electronics).
recursion_companyeconomicsector(pimco,investment).
recursion_companyeconomicsector(gmac,finance).
recursion_companyeconomicsector(nationwide,insurance).
recursion_companyeconomicsector(cnn,media).
recursion_companyeconomicsector(aetna,healthinsurance).
recursion_companyeconomicsector(aetna,health).
recursion_companyeconomicsector(aetna,insurance).
recursion_companyeconomicsector(buy,insurance).
recursion_companyeconomicsector(agedwardssons,investment).
recursion_companyeconomicsector(aig,largeinsurance).
recursion_companyeconomicsector(aig,insurance).
recursion_companyeconomicsector(americanfamily,insurance).
recursion_companyeconomicsector(lifeinsurance,insurance).
recursion_companyeconomicsector(bmonesbittburns,investment).
recursion_companyeconomicsector(draperfisherjurvetson,venturecapital).
recursion_companyeconomicsector(directline,insurance).
recursion_companyeconomicsector(baincapital,equity).
recursion_companyeconomicsector(microsoftcorporation,computersoftware).
recursion_companyeconomicsector(microsoftcorporation,internet).
recursion_companyeconomicsector(microsoftcorporation,gaming).
recursion_companyeconomicsector(microsoftcorporation,enterprisesoftware).
recursion_companyeconomicsector(merrilllynchco,investment).
recursion_companyeconomicsector(manulife,insurance).
recursion_companyeconomicsector(cbrichardellis,realestate).
recursion_companyeconomicsector(online,insurancecompany).
recursion_companyeconomicsector(rothschild,investment).
recursion_companyeconomicsector(agilenttechnologies,semiconductors).
recursion_companyeconomicsector(kleinerperkinscaufieldbyers,venturecapital).
recursion_companyeconomicsector(robertwbairdco,investment).
recursion_companyeconomicsector(agedwards,investment).
recursion_companyeconomicsector(abebooks,internet).
recursion_companyeconomicsector(pacificare,insurance).
recursion_companyeconomicsector(chasesecurities,investment).
recursion_companyeconomicsector(line,insurance).
recursion_companyeconomicsector(jefferies,investment).
recursion_companyeconomicsector(union,insurance).
recursion_companyeconomicsector(csfb,investment).
recursion_companyeconomicsector(sony,electronics).
recursion_companyeconomicsector(sony,consumerelectronics).
recursion_companyeconomicsector(sony,largeelectronics).
recursion_companyeconomicsector(kohlbergkravisrobertsco,equity).
recursion_companyeconomicsector(fanniemaeandfreddiemac,mortgage).
recursion_companyeconomicsector(fanniemaeandfreddiemac,home).
recursion_companyeconomicsector(clearchannelcommunications,media).
recursion_companyeconomicsector(small,insurance).
recursion_companyeconomicsector(montana,insurance).
recursion_companyeconomicsector(allied,insurance).
recursion_companyeconomicsector(firefox,internet).
recursion_companyeconomicsector(detroit,insurance).
recursion_companyeconomicsector(ventura,insurance).
recursion_companyeconomicsector(nj,insurance).
recursion_companyeconomicsector(request,insurance).
recursion_companyeconomicsector(kkr,investment).
recursion_companyeconomicsector(kkr,equity).
recursion_companyeconomicsector(credit,insurancecoverage).
recursion_companyeconomicsector(credit,loans).
recursion_companyeconomicsector(credit,insurance).
recursion_companyeconomicsector(massachusetts,insurancecoverage).
recursion_companyeconomicsector(massachusetts,insurance).
recursion_companyeconomicsector(westvirginia,insurance).
recursion_companyeconomicsector(highrisk,insurance).
recursion_companyeconomicsector(wisconsin,insurancecoverage).
recursion_companyeconomicsector(wisconsin,insurance).
recursion_companyeconomicsector(kentucky,insurancepolicies).
recursion_companyeconomicsector(kentucky,insurance).
recursion_companyeconomicsector(northcarolina,insurancecoverage).
recursion_companyeconomicsector(delaware,insurance).
recursion_companyeconomicsector(kansas,insurance).
recursion_companyeconomicsector(florida,insurancecompanies).
recursion_companyeconomicsector(florida,insurancecoverage).
recursion_companyeconomicsector(florida,insurancepolicies).
recursion_companyeconomicsector(florida,insuranceagent).
recursion_companyeconomicsector(louisiana,insurancecoverage).
recursion_companyeconomicsector(louisiana,insurance).
recursion_companyeconomicsector(arizona,insurancecompanies).
recursion_companyeconomicsector(arizona,insurance).
recursion_companyeconomicsector(nhs,publicsector).
recursion_companyeconomicsector(mtv,media).
recursion_companyeconomicsector(mtv,entertainment).
recursion_companyeconomicsector(low,insurancecoverage).
recursion_companyeconomicsector(low,insurancecompanies).
recursion_companyeconomicsector(low,insurancecompany).
recursion_companyeconomicsector(low,insurance).
recursion_companyeconomicsector(medical,insurance).
recursion_companyeconomicsector(penguin,publishing).
recursion_companyeconomicsector(today,media).
recursion_companyeconomicsector(today,news).
recursion_companyeconomicsector(gte,telecommunications).
recursion_companyeconomicsector(travelers,insurance).
recursion_companyeconomicsector(aarp,insurance).
recursion_companyeconomicsector(amway,multilevelmarketing).
recursion_companyeconomicsector(webex,internet).
recursion_companyeconomicsector(clearchannel,media).
recursion_companyeconomicsector(gannett,media).
recursion_companyeconomicsector(gannett,news).
recursion_companyeconomicsector(mobil,energy).
recursion_companyeconomicsector(nextelcommunicationsinc,telecommunications).
recursion_companyeconomicsector(aes,energy).
recursion_companyeconomicsector(nttcommunications,telecommunications).
recursion_companyeconomicsector(reebok,sports).
recursion_companyeconomicsector(jacksonville,insurance).
recursion_companyeconomicsector(larryking,news).
recursion_companyeconomicsector(mcclatchy,media).
recursion_companyeconomicsector(npr,news).
recursion_companyeconomicsector(minnesota,insurance).
recursion_companyeconomicsector(pressassociation,media).
recursion_companyeconomicsector(morningamerica,news).
recursion_companyeconomicsector(alabama,insurancecoverage).
recursion_companyeconomicsector(alabama,insurance).
recursion_companyeconomicsector(airamerica,media).
recursion_companyeconomicsector(idaho,insurancecoverage).
recursion_companyeconomicsector(idaho,insurance).
recursion_companyeconomicsector(channel,media).
recursion_companyeconomicsector(abcsworldnewstonight,news).
recursion_companyeconomicsector(newhampshire,insurancecoverage).
recursion_companyeconomicsector(newhampshire,insurance).
recursion_companyeconomicsector(abcnews,media).
recursion_companyeconomicsector(arkansas,insurance).
recursion_companyeconomicsector(missouri,insurance).
recursion_companyeconomicsector(cspan,news).
recursion_companyeconomicsector(ctv,media).
recursion_companyeconomicsector(texas,insurancecompany).
recursion_companyeconomicsector(texas,insurancepolicies).
recursion_companyeconomicsector(texas,insurancecoverage).
recursion_companyeconomicsector(texas,insurance).
recursion_companyeconomicsector(utah,insurance).
recursion_companyeconomicsector(businessweek,media).
recursion_companyeconomicsector(warnerbros,entertainment).
recursion_companyeconomicsector(universal,insurancecoverage).
recursion_companyeconomicsector(universal,insurance).
recursion_companyeconomicsector(universal,entertainment).
recursion_companyeconomicsector(uk,insurance).
recursion_companyeconomicsector(star,news).
recursion_companyeconomicsector(access,insurance).
recursion_companyeconomicsector(healthinsurance,insurance).
recursion_companyeconomicsector(press,media).
recursion_companyeconomicsector(cedarrapids,insurance).
recursion_companyeconomicsector(cnn,media).
recursion_companyeconomicsector(cnn,news).
recursion_companyeconomicsector(rushlimbaugh,news).
recursion_companyeconomicsector(iowa,insurance).
recursion_companyeconomicsector(tags,insurance).
recursion_companyeconomicsector(video,insurance).
recursion_companyeconomicsector(salem,insurance).
recursion_companyeconomicsector(morgan,investment).
recursion_companyeconomicsector(fl,insurance).
recursion_companyeconomicsector(manyindividuals,insurance).
recursion_companyeconomicsector(sevenamericans,insurance).
recursion_companyeconomicsector(fiveamericans,insurance).
